laraknife.btn-cancel;laraknife.buttons.cancel
laraknife.btn-delete;laraknife.buttons.delete
laraknife.btn-new;laraknife.buttons.new
laraknife.btn-search;laraknife.buttons.search
laraknife.btn-store;laraknife.buttons.store
laraknife.button ;laraknife.buttons.button 

laraknife.bigtext;laraknife.forms.text
laraknife.combobox;laraknife.forms.combobox
laraknife.field-error;laraknife.forms.field-error
laraknife.form-error;laraknife.forms.form-error
laraknife.hidden-button;laraknife.forms.hidden-elements
laraknife.password;laraknife.forms.password
laraknife.setposition;laraknife.forms.set-position
laraknife.text;laraknife.forms.string

laraknife.change-icon;laraknife.icons.change
laraknife.change-record;laraknife.icons.change-record
laraknife.delete-record;laraknife.icons.delete-record
laraknife.down-icon;laraknife.icons.down
laraknife.up-icon;laraknife.icons.up

laraknife.create-panel;laraknife.panels.create
laraknife.edit-panel;laraknife.panels.edit
laraknife.filter-panel;laraknife.panels.filter
laraknife.form-panel;laraknife.panels.form
laraknife.index-button-panel;laraknife.panels.index-button
laraknife.index-panel;laraknife.panels.index
laraknife.main-header;laraknife.panels.main-header
laraknife.show-panel;laraknife.panels.show
laraknife.sortable-table-panel;laraknife.panels.sortable-table

laraknife.sortable-table;laraknife.tables.sortable

laraknife.col-empty;laraknife.layout.col-empty
laraknife.row-empty;laraknife.layout.row-empty

laraknife.panels.col-empty;laraknife.layout.col-empty
laraknife.panels.row-empty;laraknife.layout.row-empty
